T, X1, X2, E, px, py, pz, Lx, Ly, Lz
0.0e+00, inf, -inf, -nan, -nan, -nan, -nan, -nan, -nan, -nan
9.99999974e-06, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
